Approximation,Model,dataset,Accuracy,Time,Features
DeepSHAP,Neural network,raotbl6,99.60518431,0.01271602584,7
Exhaustive,Neural network,raotbl6,99.93664036,6013.96256,7
IME,Neural network,raotbl6,99.77468281,0.3887807916,7
KernelSHAP,Neural network,raotbl6,99.93664036,0.07020115852,7
MLE,Neural network,raotbl6,99.74438898,0.1968755722,7
Non-parametric KernelSHAP,Neural network,raotbl6,99.96247125,0.007327,7
Parametric KernelSHAP,Neural network,raotbl6,99.96247122,0.006362,7
SGDShapley,Neural network,raotbl6,99.51283701,0.09980518062,7
CES,Neural network,raotbl7,99.58259282,1.121998112,7
Cohort,Neural network,raotbl7,99.58225928,1.121998112,7
DASP,Neural network,raotbl7,99.80869253,0.2325164283,7
DeepLIFT,Neural network,raotbl7,98.26961585,0.001639590544,7
DeepSHAP,Neural network,raotbl7,99.80869314,0.01201429018,7
Exhaustive,Neural network,raotbl7,99.4660166,3819.654227,7
IME,Neural network,raotbl7,99.19583821,0.3240803974,7
KernelSHAP,Neural network,raotbl7,99.4660166,0.06111217127,7
MLE,Neural network,raotbl7,99.45799277,0.1698713535,7
Non-parametric KernelSHAP,Neural network,raotbl7,99.51948537,0.00635,7
Parametric KernelSHAP,Neural network,raotbl7,99.5194853,0.007847,7
SGDShapley,Neural network,raotbl7,99.42682118,0.09593394908,7
CES,Neural network,realestate,99.76444719,3.214750845,7
Cohort,Neural network,realestate,99.72644472,3.214750845,7
DASP,Neural network,realestate,99.99959759,0.2509683988,7
DeepLIFT,Neural network,realestate,98.02598291,0.001553346129,7
DeepSHAP,Neural network,realestate,99.99959792,0.004231959364,7
Exhaustive,Neural network,realestate,99.98033136,5349.12061,7
IME,Neural network,realestate,99.84868556,0.3548415664,7
KernelSHAP,Neural network,realestate,99.98033136,0.06813020254,7
MLE,Neural network,realestate,99.86704826,0.1904039644,7
Non-parametric KernelSHAP,Neural network,realestate,99.99927071,0.009269,7
Parametric KernelSHAP,Neural network,realestate,99.99927075,0.009861,7
SGDShapley,Neural network,realestate,25,0.113660165,7
CES,Neural network,rentals,99.92967357,7.832008369,8
Cohort,Neural network,rentals,99.92296736,7.832008369,8
DASP,Neural network,rentals,99.88254877,0.2558592775,8
DeepLIFT,Neural network,rentals,98.26702641,0.001647481876,8
DeepSHAP,Neural network,rentals,99.88248697,0.003246493773,8
Exhaustive,Neural network,rentals,99.98340873,101483.332,8
IME,Neural network,rentals,99.85079521,0.3570881815,8
KernelSHAP,Neural network,rentals,99.95617321,0.06522395322,8
MLE,Neural network,rentals,99.85833846,0.1889407382,8
Non-parametric KernelSHAP,Neural network,rentals,99.95642912,0.013629,8
Parametric KernelSHAP,Neural network,rentals,99.95642911,0.016718,8
SGDShapley,Neural network,rentals,99.95432453,0.1105182525,8
CES,Neural network,sacramento,99.9175784,4.01078572,5
Cohort,Neural network,sacramento,99.91275784,4.01078572,5
DASP,Neural network,sacramento,98.66565882,0.2571922781,5
DeepLIFT,Neural network,sacramento,97.12122591,0.001333630446,5
DeepSHAP,Neural network,sacramento,98.6665864,0.003201586085,5
Exhaustive,Neural network,sacramento,99.8687604,478.0284107,5
IME,Neural network,sacramento,99.7658047,0.3650180094,5
KernelSHAP,Neural network,sacramento,99.8687604,0.06937034409,5
MLE,Neural network,sacramento,99.78552469,0.1677470215,5
Non-parametric KernelSHAP,Neural network,sacramento,99.91662135,0.008862,5
Parametric KernelSHAP,Neural network,sacramento,99.91662135,0.014608,5
SGDShapley,Neural network,sacramento,99.86882909,0.1152289285,5
CES,Neural network,seeds,97.76716705,1.51587848,6
Cohort,Neural network,seeds,97.72671671,1.51587848,6
DASP,Neural network,seeds,95.63581842,0.2407589062,6
DeepLIFT,Neural network,seeds,93.87949649,0.001365572798,6
DeepSHAP,Neural network,seeds,95.63818805,0.008048579313,6
Exhaustive,Neural network,seeds,99.2047185,1666.83837,6
IME,Neural network,seeds,99.07757175,0.3789771363,6
KernelSHAP,Neural network,seeds,99.2047185,0.07048308331,6
MLE,Neural network,seeds,99.17318593,0.1982891214,6
Non-parametric KernelSHAP,Neural network,seeds,99.25775341,0.007449,6
Parametric KernelSHAP,Neural network,seeds,99.25775332,0.006107,6
SGDShapley,Neural network,seeds,90.46485367,0.1114299919,6
CES,Neural network,seoulbike,98.98220939,12.53482334,12
Cohort,Neural network,seoulbike,98.92822094,12.53482334,12
DASP,Neural network,seoulbike,99.92549169,0.2556111422,12
DeepLIFT,Neural network,seoulbike,98.55020068,0.002959818435,12
DeepSHAP,Neural network,seoulbike,99.92491688,0.003459818435,12
Exhaustive,Neural network,seoulbike,99.9987174,2759912.559,12
IME,Neural network,seoulbike,99.46076808,0.4196371729,12
KernelSHAP,Neural network,seoulbike,99.51855929,0.05976502895,12
MLE,Neural network,seoulbike,99.34045139,0.2147320646,12
Non-parametric KernelSHAP,Neural network,seoulbike,99.39855864,0.126336,12
Parametric KernelSHAP,Neural network,seoulbike,99.39855864,0.126336,12
SGDShapley,Neural network,seoulbike,87.82532638,0.1048706358,12
CES,Neural network,servo,88.49406681,2.823641864,12
Cohort,Neural network,servo,88.42940668,2.823641864,12
DASP,Neural network,servo,99.19501895,0.2451740265,12
DeepLIFT,Neural network,servo,97.29385804,0.008971217069,12
DeepSHAP,Neural network,servo,99.19019297,0.009471217069,12
Exhaustive,Neural network,servo,99.99809276,1076558.801,12
IME,Neural network,servo,98.62609707,0.4304260081,12
KernelSHAP,Neural network,servo,98.91156799,0.0697921883,12
MLE,Neural network,servo,98.63492453,0.2262097662,12
Non-parametric KernelSHAP,Neural network,servo,99.10240662,0.068249,12
Parametric KernelSHAP,Neural network,servo,99.10240631,0.068434,12
SGDShapley,Neural network,servo,25,0.1230186419,12
CES,Neural network,slump,90.07980325,0.3962325068,7
Cohort,Neural network,slump,90.07298033,0.3962325068,7
DASP,Neural network,slump,98.44539602,0.2448296056,7
DeepLIFT,Neural network,slump,96.66516326,0.001583891756,7
DeepSHAP,Neural network,slump,98.44395832,0.01486769143,7
Exhaustive,Neural network,slump,99.68278456,3888.740474,7
IME,Neural network,slump,99.58213887,0.3956902728,7
KernelSHAP,Neural network,slump,99.68278456,0.06999052272,7
MLE,Neural network,slump,99.39989813,0.2046738162,7
Non-parametric KernelSHAP,Neural network,slump,99.39251468,0.007174,7
Parametric KernelSHAP,Neural network,slump,99.39251448,0.00784,7
SGDShapley,Neural network,slump,83.19790341,0.1012933044,7
CES,Neural network,slump-flow,86.91331116,0.1908433578,7
Cohort,Neural network,slump-flow,86.92133112,0.1908433578,7
DASP,Neural network,slump-flow,99.42519133,0.2508004273,7
DeepLIFT,Neural network,slump-flow,97.98158421,0.001419686291,7
DeepSHAP,Neural network,slump-flow,99.42191654,0.01607236441,7
Exhaustive,Neural network,slump-flow,98.51604861,7011.284552,7
IME,Neural network,slump-flow,98.45149249,0.3917406938,7
KernelSHAP,Neural network,slump-flow,98.51604861,0.06879458007,7
MLE,Neural network,slump-flow,98.29974009,0.1727205234,7
Non-parametric KernelSHAP,Neural network,slump-flow,98.35801498,0.006303,7
Parametric KernelSHAP,Neural network,slump-flow,98.35801489,0.006129,7
SGDShapley,Neural network,slump-flow,98.19023518,0.1176240374,7
CES,Neural network,slump-mpa,97.91919409,0.9086734898,7
Cohort,Neural network,slump-mpa,97.92191941,0.9086734898,7
DASP,Neural network,slump-mpa,99.57530839,0.245772516,7
